,Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year
101,Opel,Astra,2008,Universal,310000.0,1300.0,Diesel,Manual,4850.0,14,22142.85714285714
102,Skoda,Superb,2014,Sedan,186000.0,1600.0,Diesel,Automatic,12300.0,8,23250.0
103,Volkswagen,Rare,2011,Pickup,150000.0,2000.0,Diesel,Manual,12800.0,11,13636.363636363636
104,Mercedes,Vito,2000,Minivan,258000.0,2200.0,Diesel,Automatic,2999.0,22,11727.272727272728
105,Nissan,Qashqai,2016,Crossover,151000.0,1500.0,Diesel,Manual,13890.0,6,25166.666666666668
106,BMW,5 Series,2018,Sedan,46000.0,2000.0,Petrol,Automatic,27650.0,4,11500.0
107,Renault,Megane,2010,Universal,257110.0,1500.0,Diesel,Manual,4999.0,12,21425.83333333333
108,Ford,Mondeo,2016,Sedan,167000.0,1500.0,Diesel,Manual,12990.0,6,27833.33333333333
109,Toyota,C-HR,2018,Crossover,114000.0,1800.0,Hybrid,Automatic,16750.0,4,28500.0
110,Nissan,Qashqai,2017,Crossover,157600.0,1500.0,Diesel,Manual,11990.0,5,31520.0
111,Toyota,Auris,2014,Universal,190000.0,1800.0,Hybrid,Automatic,8990.0,8,23750.0
112,Toyota,C-HR,2017,Crossover,119000.0,1800.0,Hybrid,Automatic,18790.0,5,23800.0
113,Peugeot,Rare,2018,Crossover,145000.0,1500.0,Diesel,Automatic,16790.0,4,36250.0
114,Renault,Kadjar,2016,Crossover,150200.0,1500.0,Diesel,Automatic,13450.0,6,25033.33333333333
115,Lexus,NX Series,2015,SUV,149000.0,2500.0,Hybrid,Automatic,21750.0,7,21285.714285714286
116,Volkswagen,Passat,2006,Sedan,216000.0,2000.0,Petrol,Automatic,5350.0,16,13500.0
117,Infiniti,Rare,2016,Crossover,88000.0,1500.0,Diesel,Automatic,15790.0,6,14666.666666666666
118,Volkswagen,Passat,2007,Universal,320000.0,1600.0,Metan/Propan,Manual,5999.0,15,21333.33333333333
119,Hyundai,Matrix,2006,Hatchback,298000.0,1500.0,Diesel,Manual,2999.0,16,18625.0
120,Honda,Civic,2017,Hatchback,27138.0,1500.0,Petrol,Automatic,13300.0,5,5427.6
121,Renault,Kadjar,2016,Crossover,140000.0,1500.0,Diesel,Automatic,12400.0,6,23333.33333333333
122,Skoda,Octavia,2012,Sedan,166000.0,1600.0,Diesel,Automatic,8990.0,10,16600.0
123,Skoda,Superb,2009,Sedan,223000.0,2000.0,Diesel,Automatic,8990.0,13,17153.846153846152
124,Toyota,Corolla,2006,Universal,198563.0,1400.0,Diesel,Automatic,5350.0,16,12410.1875
125,Volvo,Rare,2000,Sedan,202698.0,2800.0,Petrol,Automatic,3999.0,22,9213.545454545454
126,Land Rover,Freelander,2000,SUV,230000.0,2000.0,Diesel,Manual,2750.0,22,10454.545454545454
127,BMW,5 Series,2018,Sedan,82000.0,2000.0,Diesel,Automatic,34000.0,4,20500.0
128,Volkswagen,Passat,1995,Universal,250369.0,1800.0,Petrol,Manual,2700.0,27,9272.925925925923
